Day,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
09/28/2023,8:51 PM,62 °F,57 °F,84 %,E,5 mph,0 mph,30.23 in,0.0 in,Cloudy
09/28/2023,9:51 PM,59 °F,57 °F,93 %,NE,10 mph,0 mph,30.22 in,0.1 in,Heavy Rain
09/28/2023,10:08 PM,59 °F,57 °F,93 %,ESE,8 mph,0 mph,30.23 in,0.1 in,Heavy T-Storm
09/28/2023,10:28 PM,58 °F,58 °F,100 %,E,7 mph,0 mph,30.22 in,0.3 in,Heavy Rain
09/28/2023,10:51 PM,59 °F,57 °F,93 %,NNE,8 mph,0 mph,30.23 in,0.4 in,Light Rain
09/28/2023,11:51 PM,59 °F,58 °F,96 %,NNE,10 mph,0 mph,30.20 in,0.0 in,Rain
09/29/2023,12:37 AM,59 °F,57 °F,93 %,ENE,9 mph,0 mph,30.22 in,0.1 in,Light Rain with Thunder
09/29/2023,12:51 AM,58 °F,57 °F,97 %,NNE,13 mph,0 mph,30.20 in,0.1 in,Heavy T-Storm
09/29/2023,1:15 AM,58 °F,57 °F,97 %,NE,14 mph,0 mph,30.19 in,0.1 in,Heavy Rain
09/29/2023,1:31 AM,58 °F,58 °F,100 %,E,12 mph,0 mph,30.20 in,0.3 in,Heavy T-Storm
09/29/2023,1:51 AM,58 °F,58 °F,100 %,ENE,9 mph,0 mph,30.20 in,0.7 in,Heavy T-Storm
09/29/2023,2:01 AM,59 °F,59 °F,100 %,ENE,17 mph,22 mph,30.18 in,0.2 in,Heavy T-Storm
09/29/2023,2:16 AM,59 °F,59 °F,100 %,ENE,22 mph,0 mph,30.16 in,0.8 in,Heavy Rain / Windy
09/29/2023,2:51 AM,60 °F,59 °F,96 %,NE,10 mph,26 mph,30.19 in,1.2 in,Rain
09/29/2023,3:22 AM,60 °F,60 °F,100 %,NNE,13 mph,0 mph,30.15 in,0.2 in,Heavy Rain
09/29/2023,3:51 AM,60 °F,60 °F,100 %,NNE,14 mph,0 mph,30.15 in,0.3 in,Rain
09/29/2023,4:51 AM,60 °F,60 °F,100 %,NE,16 mph,0 mph,30.14 in,0.1 in,Light Rain
